,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
261,0.074704212,0.07473019,0.074808179,0.07493834,0.075120946,0.075356376,0.075645122,0.075987789,0.076385095,0.076837875,0.077347085,0.077913803,0.078539232,0.079224709,0.079971701,0.080781819,0.081656815,0.082598596,0.083609223,0.084690923,0.085846093,0.087077313,0.088387347,0.08977916,0.091255924,0.092821029,0.094478098,0.096230992,0.098083832,0.100041007,0.102107191,0.104287359,0.106586804,0.109011156,0.111566399,0.114258895,0.117095402,0.120083099,0.123229611,0.126543035,0.130031963,0.133705518,0.137573381,0.141645821,0.145933733,0.150448672,0.155202892,0.160209382,0.165481912,0.171035073,0.176884325,0.183046043,0.189537567,0.196377255,0.203584533,0.211179954,0.219185255,0.227623415,0.236518717,0.245896811,0.255784778,0.266211196,0.277206206,0.288801579,0.301030788,0.31392907,0.3275335,0.341883054,0.357018679,0.372983359,0.389822173,0.407582359,0.426313372,0.446066934,0.466897084,0.488860219,0.512015132,0.536423037,0.562147594,0.589254913,0.617813563
262,0.077235289,0.077261882,0.077341715,0.077474952,0.077661867,0.077902845,0.078198382,0.078549089,0.078955693,0.079419036,0.079940083,0.080519924,0.081159773,0.081860978,0.082625022,0.083453529,0.084348266,0.085311156,0.086344278,0.087449874,0.08863036,0.089888334,0.091226578,0.092648078,0.094156023,0.095753822,0.097445116,0.099233785,0.101123966,0.103120065,0.105226771,0.107449073,0.109792274,0.112262014,0.114864284,0.117605448,0.120492264,0.123531907,0.12673199,0.130100595,0.133646293,0.137378177,0.141305889,0.145439653,0.149790305,0.154369331,0.159188902,0.164261911,0.169602014,0.175223672,0.181142194,0.187373784,0.193935583,0.200845728,0.208123393,0.215788849,0.223863514,0.232370012,0.241332231,0.250775379,0.26072605,0.27121228,0.282263613,0.293911163,0.306187677,0.319127601,0.33276714,0.347144322,0.36229906,0.37827321,0.395110629,0.412857231,0.431561035,0.451272218,0.472043147,0.493928428,0.516984926,0.541271793,0.566850483,0.593784754,0.622140668
263,0.08015137,0.080178657,0.080260573,0.080397285,0.080589069,0.080836314,0.081139523,0.081499312,0.081916416,0.082391687,0.0829261,0.083520755,0.08417688,0.084895835,0.085679118,0.086528367,0.087445367,0.088432056,0.08949053,0.090623052,0.091832055,0.093120155,0.094490156,0.09594506,0.097488077,0.099122635,0.100852393,0.102681249,0.104613358,0.106653139,0.108805297,0.111074832,0.113467059,0.115987622,0.118642517,0.121438107,0.124381145,0.127478797,0.130738662,0.134168796,0.137777744,0.141574558,0.145568834,0.149770736,0.154191031,0.158841121,0.163733078,0.16887968,0.17429445,0.179991697,0.185986554,0.192295023,0.198934023,0.205921431,0.213276136,0.221018084,0.229168333,0.237749104,0.246783837,0.256297244,0.266315368,0.276865638,0.287976929,0.299679621,0.312005653,0.324988589,0.338663668,0.353067868,0.368239954,0.384220541,0.401052138,0.418779197,0.437448165,0.457107516,0.477807793,0.499601637,0.522543811,0.546691217,0.572102905,0.598840077,0.626966071
264,0.083503126,0.083531194,0.083615453,0.08375607,0.083953327,0.084207616,0.084519446,0.084889441,0.085318342,0.085807013,0.086356439,0.086967731,0.08764213,0.088381011,0.089185885,0.090058408,0.09100038,0.092013757,0.093100654,0.09426335,0.095504299,0.096826136,0.098231684,0.099723965,0.101306208,0.102981859,0.104754595,0.106628333,0.10860724,0.110695752,0.112898586,0.115220749,0.117667565,0.120244681,0.122958092,0.125814157,0.128819619,0.131981626,0.135307755,0.138806032,0.14248496,0.146353546,0.150421323,0.154698385,0.159195412,0.163923705,0.168895221,0.1741226,0.179619211,0.185399182,0.191477444,0.197869769,0.204592815,0.211664167,0.219102386,0.226927051,0.235158812,0.243819435,0.252931857,0.262520232,0.272609988,0.283227878,0.294402031,0.306162011,0.318538865,0.331565179,0.345275129,0.359704534,0.374890904,0.390873487,0.407693318,0.425393257,0.44401803,0.463614264,0.484230517,0.5059173,0.528727097,0.55271438,0.577935604,0.604449213,0.632315619
265,0.087341399,0.087370338,0.087457212,0.08760219,0.087805557,0.088067709,0.088389163,0.088770548,0.089212615,0.089716237,0.09028241,0.090912258,0.091607035,0.092368129,0.093197068,0.094095522,0.095065309,0.096108404,0.097226937,0.098423208,0.099699689,0.101059035,0.102504086,0.104037883,0.105663674,0.107384924,0.109205324,0.111128807,0.113159554,0.115302012,0.117560905,0.11994125,0.12244837,0.125087914,0.127865867,0.13078858,0.133862775,0.137095579,0.140494534,0.144067627,0.14782331,0.151770527,0.155918736,0.160277945,0.164858729,0.169672271,0.174730385,0.180045557,0.18563097,0.191500546,0.197668982,0.204151787,0.21096532,0.218126835,0.225654521,0.233567544,0.241886094,0.25063143,0.259825925,0.269493113,0.27965774,0.290345808,0.301584627,0.313402858,0.325830569,0.338899276,0.352641992,0.367093272,0.382289256,0.398267713,0.415068077,0.432731483,0.451300804,0.470820674,0.491337513,0.512899548,0.535556823,0.559361204,0.58436638,0.610627852,0.638202914
266,0.091716776,0.091746681,0.091836451,0.09198626,0.092196394,0.092467256,0.092799366,0.093193363,0.093650006,0.094170177,0.094754884,0.095405262,0.096122579,0.096908238,0.09776378,0.098690892,0.09969141,0.100767323,0.101920781,0.103154101,0.104469773,0.10587047,0.10735905,0.108938571,0.110612298,0.112383709,0.114256511,0.116234648,0.118322313,0.120523958,0.122844314,0.125288397,0.127861527,0.130569345,0.133417824,0.136413293,0.13956245,0.142872385,0.146350598,0.150005022,0.153844043,0.157876529,0.162111848,0.166559897,0.171231133,0.176136593,0.18128793,0.186697442,0.192378104,0.198343598,0.204608354,0.211187579,0.218097297,0.225354387,0.232976621,0.240982703,0.24939231,0.258226137,0.267505934,0.27725455,0.28749598,0.298255405,0.309559233,0.321435147,0.333912146,0.347020585,0.360792217,0.375260233,0.390459297,0.406425585,0.423196815,0.440812279,0.459312865,0.478741084,0.499141085,0.520558666,0.543041286,0.566638057,0.591399746,0.617378753,0.644629095
267,0.096679017,0.096709982,0.096802933,0.096958046,0.09717561,0.097456034,0.097799842,0.098207681,0.098680319,0.099218647,0.099823683,0.100496576,0.101238604,0.102051185,0.102935875,0.103894375,0.104928537,0.106040366,0.107232029,0.108505859,0.109864362,0.111310226,0.112846326,0.114475734,0.116201728,0.118027798,0.119957662,0.121995271,0.124144823,0.126410773,0.12879785,0.131311064,0.133955724,0.136737455,0.139662208,0.142736282,0.145966336,0.149359414,0.152922959,0.156664834,0.160593347,0.164717268,0.169045856,0.173588882,0.178356654,0.183360043,0.188610514,0.194120148,0.199901679,0.205968518,0.212334791,0.219015365,0.226025888,0.23338282,0.241103466,0.24920602,0.257709594,0.266634259,0.276001083,0.285832168,0.296150689,0.306980933,0.318348335,0.33027952,0.342802334,0.355945887,0.369740581,0.384218148,0.399411681,0.415355661,0.432085987,0.449639996,0.468056483,0.487375722,0.507639472,0.528890986,0.551175012,0.574537787,0.599027029,0.624691913,0.65158305
268,0.102276296,0.102308414,0.102404827,0.102565709,0.102791355,0.103082177,0.103438707,0.103861596,0.104351621,0.104909682,0.105536808,0.106234157,0.10700302,0.107844827,0.108761148,0.109753697,0.110824339,0.111975094,0.113208144,0.114525834,0.115930686,0.117425399,0.119012861,0.120696154,0.122478566,0.124363594,0.12635496,0.128456617,0.130672763,0.133007849,0.135466592,0.138053989,0.14077533,0.143636211,0.146642552,0.149800607,0.153116987,0.156598673,0.160253034,0.16408785,0.168111329,0.172332125,0.176759365,0.181402671,0.186272178,0.191378564,0.196733076,0.20234755,0.208234443,0.214406862,0.22087859,0.227664117,0.234778668,0.24223824,0.250059629,0.258260462,0.266859235,0.275875341,0.285329106,0.295241821,0.305635781,0.316534309,0.3279618,0.339943742,0.352506759,0.365678633,0.379488337,0.393966061,0.409143241,0.425052577,0.441728058,0.459204975,0.477519943,0.496710903,0.516817131,0.537879241,0.55993918,0.583040218,0.60722693,0.632545181,0.659042085
269,0.108554291,0.108587651,0.108687791,0.108854888,0.109089239,0.109391259,0.109761486,0.110200577,0.110709316,0.111288612,0.111939501,0.112663151,0.113460864,0.11433408,0.11528438,0.11631349,0.117423287,0.118615802,0.119893227,0.121257918,0.122712408,0.124259403,0.125901799,0.127642685,0.129485349,0.131433293,0.133490236,0.135660125,0.13794715,0.140355746,0.142890614,0.145556725,0.148359338,0.151304011,0.154396615,0.157643351,0.161050761,0.164625749,0.168375594,0.172307971,0.176430967,0.180753101,0.185283345,0.190031142,0.195006433,0.200219672,0.205681856,0.211404544,0.217399887,0.223680646,0.230260224,0.237152693,0.244372816,0.251936081,0.259858725,0.268157764,0.276851023,0.285957164,0.295495717,0.305487106,0.315952681,0.326914745,0.338396585,0.350422493,0.363017799,0.376208893,0.390023249,0.404489447,0.419637193,0.435497336,0.452101886,0.469484023,0.487678104,0.506719675,0.526645464,0.547493382,0.569302514,0.592113104,0.615966536,0.640905309,0.666973003
270,0.11555512,0.115589805,0.115693919,0.115867641,0.116111271,0.116425227,0.11681005,0.117266404,0.117795078,0.118396986,0.119073174,0.119824815,0.120653222,0.12155984,0.12254626,0.123614217,0.124765595,0.126002432,0.127326929,0.128741447,0.130248523,0.131850868,0.133551379,0.135353143,0.137259447,0.139273784,0.141399864,0.143641621,0.146003224,0.148489086,0.151103877,0.153852532,0.156740266,0.159772584,0.162955296,0.166294528,0.169796742,0.173468743,0.177317702,0.181351168,0.185577086,0.190003814,0.194640144,0.199495317,0.204579048,0.209901538,0.215473505,0.221306198,0.227411423,0.233801562,0.240489602,0.247489154,0.254814479,0.262480511,0.270502884,0.278897957,0.287682838,0.296875407,0.306494346,0.316559162,0.327090208,0.338108711,0.349636797,0.361697506,0.37431482,0.387513682,0.401320011,0.415760724,0.430863745,0.446658022,0.463173536,0.480441306,0.498493393,0.517362904,0.537083984,0.55769181,0.579222576,0.601713483,0.625202707,0.649729377,0.675333538
